nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
Japan,2021,Mar,74.0,784.0,2021.0,3.0,2021-03-01,0.9734280452512496
Canada,2021,Mar,127.0,2438.0,2021.0,3.0,2021-03-01,1.6706129965798473
Australia,2021,Mar,99.0,2477.0,2021.0,3.0,2021-03-01,1.3022888713496448
China,2021,Mar,1207.0,6198.0,2021.0,3.0,2021-03-01,15.877400684030519
Sri Lanka,2021,Mar,40.0,463.0,2021.0,3.0,2021-03-01,0.5261773217574323
Spain,2021,Mar,54.0,1151.0,2021.0,3.0,2021-03-01,0.7103393843725335
Myanmar,2021,Mar,101.0,344.0,2021.0,3.0,2021-03-01,1.3285977374375164
Others,2021,Mar,2246.0,26013.0,2021.0,3.0,2021-03-01,29.54485661667982
Bangladesh,2021,Mar,567.0,5044.0,2021.0,3.0,2021-03-01,7.458563535911603
Italy,2021,Mar,54.0,613.0,2021.0,3.0,2021-03-01,0.7103393843725335
Thailand,2021,Mar,46.0,576.0,2021.0,3.0,2021-03-01,0.6051039200210471
France,2021,Mar,169.0,2829.0,2021.0,3.0,2021-03-01,2.2230991844251515
Malaysia,2021,Mar,16.0,331.0,2021.0,3.0,2021-03-01,0.2104709287029729
Netherlands,2021,Mar,122.0,1303.0,2021.0,3.0,2021-03-01,1.6048408313601683
USA,2021,Mar,1693.0,22854.0,2021.0,3.0,2021-03-01,22.27045514338332
UK,2021,Apr,541.0,8680.0,2021.0,4.0,2021-04-01,5.659587822994037
Germany,2021,Apr,218.0,2929.0,2021.0,4.0,2021-04-01,2.28057328172403
South Korea,2021,Apr,83.0,1263.0,2021.0,4.0,2021-04-01,0.8682916623077728
Italy,2021,Apr,55.0,613.0,2021.0,4.0,2021-04-01,0.5753739930955121
Japan,2021,Apr,107.0,784.0,2021.0,4.0,2021-04-01,1.1193639502039963
France,2021,Apr,162.0,2829.0,2021.0,4.0,2021-04-01,1.6947379432995082
Australia,2021,Apr,97.0,2477.0,2021.0,4.0,2021-04-01,1.0147504969139032
Canada,2021,Apr,183.0,2438.0,2021.0,4.0,2021-04-01,1.9144261952087036
USA,2021,Apr,2733.0,22854.0,2021.0,4.0,2021-04-01,28.590856784182446
Malaysia,2021,Apr,44.0,331.0,2021.0,4.0,2021-04-01,0.46029919447640966
Thailand,2021,Apr,44.0,576.0,2021.0,4.0,2021-04-01,0.46029919447640966
Sri Lanka,2021,Apr,71.0,463.0,2021.0,4.0,2021-04-01,0.742755518359661
Myanmar,2021,Apr,58.0,344.0,2021.0,4.0,2021-04-01,0.60675802908254
Spain,2021,Apr,104.0,1151.0,2021.0,4.0,2021-04-01,1.0879799142169684
Netherlands,2021,Apr,139.0,1303.0,2021.0,4.0,2021-04-01,1.4541270007322942
Others,2021,Apr,3955.0,26013.0,2021.0,4.0,2021-04-01,41.37462077623182
China,2021,Apr,803.0,6198.0,2021.0,4.0,2021-04-01,8.400460299194476
Bangladesh,2021,Apr,162.0,5044.0,2021.0,4.0,2021-04-01,1.6947379432995082
USA,2021,May,225.0,22854.0,2021.0,5.0,2021-05-01,23.834745762711865
China,2021,May,78.0,6198.0,2021.0,5.0,2021-05-01,8.26271186440678
Thailand,2021,May,8.0,576.0,2021.0,5.0,2021-05-01,0.847457627118644
Germany,2021,May,13.0,2929.0,2021.0,5.0,2021-05-01,1.3771186440677965
South Korea,2021,May,12.0,1263.0,2021.0,5.0,2021-05-01,1.2711864406779663
Italy,2021,May,6.0,613.0,2021.0,5.0,2021-05-01,0.6355932203389831
Bangladesh,2021,May,6.0,5044.0,2021.0,5.0,2021-05-01,0.6355932203389831
Others,2021,May,453.0,26013.0,2021.0,5.0,2021-05-01,47.98728813559322
Myanmar,2021,May,6.0,344.0,2021.0,5.0,2021-05-01,0.6355932203389831
Malaysia,2021,May,3.0,331.0,2021.0,5.0,2021-05-01,0.31779661016949157
Netherlands,2021,May,7.0,1303.0,2021.0,5.0,2021-05-01,0.7415254237288136
France,2021,May,17.0,2829.0,2021.0,5.0,2021-05-01,1.8008474576271187
Australia,2021,May,9.0,2477.0,2021.0,5.0,2021-05-01,0.9533898305084746
UK,2021,May,51.0,8680.0,2021.0,5.0,2021-05-01,5.402542372881356
Sri Lanka,2021,May,1.0,463.0,2021.0,5.0,2021-05-01,0.1059322033898305
Canada,2021,May,24.0,2438.0,2021.0,5.0,2021-05-01,2.5423728813559325
Spain,2021,May,25.0,1151.0,2021.0,5.0,2021-05-01,2.6483050847457625
Japan,2021,May,0.0,784.0,2021.0,5.0,2021-05-01,0.0
Japan,2021,Jun,13.0,784.0,2021.0,6.0,2021-06-01,1.5776699029126213
Germany,2021,Jun,16.0,2929.0,2021.0,6.0,2021-06-01,1.9417475728155338
Italy,2021,Jun,6.0,613.0,2021.0,6.0,2021-06-01,0.7281553398058253
USA,2021,Jun,263.0,22854.0,2021.0,6.0,2021-06-01,31.917475728155342
Spain,2021,Jun,3.0,1151.0,2021.0,6.0,2021-06-01,0.3640776699029126
Canada,2021,Jun,14.0,2438.0,2021.0,6.0,2021-06-01,1.6990291262135921
